,LYMAN PUBLIC LIBRARY,313 JEFFERS STREET,PO BOX 384,LYMAN,69352,SCOTTS BLUFF,(308) 787-1366,Western Library System,254,254,0,0,1937,2011,Yes,No,No,No,N/A,"1,547",52,CI,SO,PL1,Y,ME,N,1,832,10/1/2023,9/30/2024,"$34,365",,,,,,,"$34,365",$803,$0,$0,$0,$803,$0,,$0 ,$0,$0,$0,SCOTTS BLUFF COUNTY HOMEMAKERS,$50,$50,"$35,218",$0,$0,$0,$0,$0,No,N/A,$0,$0,0,"$7,152",$547,"$7,699",,,,,,,,1,,1,,"$1,785",$0,$5,"$1,790",$0,$800,$904,$0,"$5,209","$6,913","$16,402",$0,"7,766",227,177,"7,816",81,0,0,81,719,106,0,825,25,0,10,15,None,0,0,0,0,"8,566",333,177,"8,722",None,0,No,No,No,No,No,No,No,No,No,No,No,No,390,"1,264",CT - Annual Count,22,CT - Annual Count,26,CT - Annual Count,721,112,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,721,112,833,No,No,Yes,No,No,No,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,80,No,0,No,0,No,,,,,,,,,,,,,Yes,4,No,,,,,,No,Biblionix Apollo,Yes,1,N/A,Vistabeam,DSL,Yes,N/A,N/A,24.1 Mbps - 50.0 Mbps,No,,26,26,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,0,1,16,0.40,0,0,0.00,0,0,0.00,0.40,Library Director,$12.00,0,0,KATHRINE ANN RUPE,LIBRARY DIRECTOR,2/05/2025
,LYONS PUBLIC LIBRARY,305 MAIN STREET,PO BOX 198,LYONS,68038,BURT,(402) 687-2895,Three Rivers Library System,813,813,0,0,2006,2024,Yes,Yes,No,Yes,2025,"5,500",52,CI,SO,PL1,Y,ME,N,1,"2,028",10/1/2023,9/30/2024,"$70,516",,,Burt County,"$1,500",,,"$72,016",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,"Endowment, donations, Normil found.","$5,743","$5,743","$77,959",$0,$0,$0,$0,$0,No,NA,$0,$0,11,"$40,256","$3,080","$43,336",,,,,,,,,,,NA,"$3,270",$500,$26,"$3,796","$1,235",$990,$480,$0,"$21,982","$24,687","$71,819","$2,000","19,799",418,"2,485","17,732",303,3,192,114,893,27,761,159,4,0,0,4,Puzzles and Games,368,0,342,26,"21,363",448,"3,780","18,031","Lyons High School Yearbooks; ""Centennial"" type books for Lyons and other towns in Eastern Nebraska.  We also have an old microfilm reader and reels of microfilmed Lyons newspapers.",N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,244","3,200",ES - Annual Estimate Based on Typical Week(s),75,ES - Annual Estimate Based on Typical Week(s),"1,100",ES - Annual Estimate Based on Typical Week(s),"2,845","2,107",243,"5,195",473,96,569,133,3,136,296,163,459,0,0,0,"1,164","3,747","2,369","6,359",Yes,No,Yes,No,No,No,0,5,0,No,NA,26,4,30,0,0,6,36,35,1,0,36,149,26,175,0,0,106,281,248,33,0,281,0,0,0,7,0,0,Yes,27,No,0,No,0,No,,,,,,,,,,,NA,,Yes,240,No,,,,,NA,Yes,Biblionix Apollo,Yes,10,Router Controlled,FastWyre Cable,Fiber Optic,Yes,NA,N/A,50.1 Mbps - 100.0 Mbps,No,NA,105,105,Yes -Temporary or shared space for makerspace,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,NA,,,,,,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes,1,1,57,1,0,0,0.00,0,0,0.00,1,Library Director,$18.00,4,2,Michael Heavrin,Library Director,02/24/2025
,MADISON PUBLIC LIBRARY,208 WEST 3RD STREET,P O BOX 387,MADISON,68748,MADISON,(402) 454-3500,Three Rivers Library System,"2,189","2,189",0,0,1998,2023,Yes,No,No,No,,"3,656",52,CI,SO,PL1,Y,ME,N,1,"1,846",10/1/2023,9/30/2024,"$115,875",,,Madison County,"$9,020",,,"$124,895","$1,199",$0,$900,$0,"$2,099",$0,,$0 ,$0,$0,$0,"Community chest, Humanities NE","$2,000","$2,000","$128,994","$115,875",$0,$0,$0,"$115,875",Yes,out of County,$10,$10,0,"$74,300","$16,105","$90,405",1,1,1,1,1,1,0,,,,,"$5,511",$500,$35,"$6,046",$720,"$2,000","$2,280",$0,"$19,248","$24,248","$120,699","$17,951","15,555",649,"1,063","15,141",69,0,5,64,917,0,178,739,34,0,21,13,"books kits, hot spots, telescope",37,0,0,37,"16,578",649,"1,246","15,981",Headphones,8,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,873","5,385",CT - Annual Count,504,CT - Annual Count,"1,358",CT - Annual Count,"1,103","2,281",265,"3,649",746,42,788,39,4,43,574,118,692,0,0,0,"1,523","2,462","2,445","5,172",No,Yes,Yes,No,No,No,0,8,0,N/A,0,0,14,14,0,0,13,27,27,0,0,27,0,215,215,0,0,43,258,258,0,0,258,0,0,0,675,0,0,Yes,140,No,,No,,Yes – for some material types,,1,,,Hot Spots,,1,1,1,1,,,No,0,N/A,,1,,,,No,Follett Destiny,Yes,4,Fortinet,Stealth Broadband,Fiber Optic,Yes,NA,N/A,100.0 Mbps - 1 Gbps,Yes,HD Guard | Reboot Restore Rx,515,34,Yes -Temporary or shared space for makerspace,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,No,,,,,,,No,No,Yes - Informal or one on one training,No,No,No,No,Yes,3,3,75,2,0,0,0.00,0,0,0.00,2,Head Librarian Director,$21.88,0,0,Naomi Hemphill,Director,1/7/2025
,MALTMAN MEMORIAL PUBLIC LIBRARY,910 MAIN STREET,PO BOX 10,WOOD RIVER,68883,HALL,308-583-2349,Central Plains Library System,"1,158","1,158",0,0,1964,1985,No,Yes,No,Yes,2026,1851,52,CI,SO,PL1,Y,ME,N,1,"2,224",10/1/2023,9/30/2024,"$78,335",,,,,,,"$78,335",$940,$0,"$1,300",$0,"$2,240","$1,275",,$0 ,"$1,275",$0,$0,Wood River Community Foundation,$816,$816,"$82,666",$0,"$562,000",$0,"$1,013,456","$1,575,456",No,,,,11,"$52,456","$4,194","$56,650",,,,1,1,,,1,,,,"$8,223",$500,$840,"$9,563","$1,852","$1,517",$441,$0,"$16,902","$20,712","$86,925",$0,"8,948",748,127,"9,569",0,0,0,0,0,0,0,0,1,0,0,1,Cake Pans & Puzzles,78,0,15,63,"9,026",748,142,"9,632",headphones,5,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,476,"6,908",CT - Annual Count,83,CT - Annual Count,289,CT - Annual Count,"1,078","5,201",67,"6,346",81,397,478,3,0,3,193,22,215,0,0,0,696,"1,355","5,620","7,042",No,No,Yes,No,No,No,0,0,0,N/A,,45,73,118,3,23,5,149,147,2,0,149,274,"2,186","2,460",10,84,522,"3,076","2,993",83,0,"3,076",9,997,"4,170",24,0,0,Yes,73,Yes,10,No,,No,,,,,,,,,,,,,Yes,26,No,,1,,1,,No,Apollo,Yes,2,DNS Filter,Great Plains Communication,Fiber Optic,Yes,na,N/A,100.0 Mbps - 1 Gbps,No,,N/A,99,Yes - Permanently allocated makerspace,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,,1,35,0.88,0,0,0.00,2,25,0.63,2,Director,$20.80,0,0,Veronica Kaufman,Director,2/6/2025
,MAXINE WHITE SUTHERLAND PUBLIC LIBRARY,900 2ND STREET,PO BOX 275,SUTHERLAND,69165,LINCOLN,(308) 386-2228,Central Plains Library System,"1,233","1,233",0,0,1978,2023,No,No,No,No,NA,"1,890",52,CI,SO,PL1,Y,ME,N,1,"1,064",10/1/2023,9/30/2024,"$51,875",,,Lincoln,"$2,450",,,"$54,325",$780,$0,$496,$0,"$1,276","$3,204",,$0 ,"$3,204",$0,$270,"Burcham account, memorials","$18,000","$18,270","$77,075",$0,$0,$0,$0,$0,No,NA,$0,$0,6,"$26,872","$2,957","$29,829",,,,1,1,,,1,1,1,Paid holidays,"$11,747",$500,0,"$12,247",$506,$495,"$1,890",$821,"$8,153","$11,865","$53,941",$0,"12,129","1,314","3,359","10,084",0,0,0,0,"1,029",20,474,575,1,0,0,1,Puzzles and board games,64,14,17,61,"13,222","1,348","3,850","10,720",Headphones: 3 LittleBits kits: 2 Ipads: 2 Legos: 3 boxes Magna-tiles: 3 boxes Seed catalog: seeds left but didn't return so non-circulating?,125,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,243,"3,699",CT - Annual Count,162,ES - Annual Estimate Based on Typical Week(s),208,CT - Annual Count,"1,488","4,409",52,"5,949",757,49,806,212,0,212,985,128,"1,113",0,0,0,"2,131","3,442","4,586","8,080",No,No,Yes,No,No,No,0,210,0,N/A,0,63,27,90,0,0,0,90,90,0,0,90,598,363,961,0,0,0,961,961,0,0,961,0,0,0,0,0,0,Yes,96,No,0,No,0,Yes – for all items,1,1,,1,NA,,1,1,1,1,,,No,0,N/A,,,,,,Yes,Book Systems Atriuum,Yes,2,Open DNS,Great Plains Communication,DSL,Yes,NA,N/A,24.1 Mbps - 50.0 Mbps,Yes,"Data 443 Ransomware, Deep Freeze",29,28,Yes -Temporary or shared space for makerspace,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,NA,,,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,0,3,26,0.65,0,0,0.00,0,0,0.00,0.65,Library Director,$24.74,1,1,Amy Coffman,Library Director,1/7/25
,MCCOOK PUBLIC LIBRARY,802 NORRIS AVENUE,802 NORRIS AVENUE,MCCOOK,69001,RED WILLOW,(308) 345-1906,Central Plains Library System,"7,253","7,253",0,0,1968,2014,Yes,No,No,No,N/A,"13,200",52,CI,SO,PL1,Y,ME,N,1,"2,626",10/1/2023,9/30/2024,"$385,434",,,,,,,"$385,434","$1,868",$0,$0,$0,"$1,868",$0,,$0 ,$0,$91,$0,,,$91,"$387,393",$0,$0,$0,$0,$0,Yes,out of city limits,$10.00,$10.00,547,"$233,215","$28,687","$261,902",1,1,1,1,1,1,1,1,1,1,None,"$38,824",$500,"$15,778","$55,102",$347,"$2,027",$0,$0,"$62,793","$65,167","$382,171",$0,"20,771","1,173",942,"21,002","2,189",276,359,"2,106","2,041",179,239,"1,981",42,0,0,42,"cake pans, puppets",152,154,0,306,"25,153","1,782","1,540","25,395","headphones, microfilm, newspapers","1,486",No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,"3,589","42,856",ES - Annual Estimate Based on Typical Week(s),"1,509",ES - Annual Estimate Based on Typical Week(s),"13,458",ES - Annual Estimate Based on Typical Week(s),"38,742","44,036",39,"82,817","5,727",615,"6,342",773,20,793,"5,508",780,"6,288",0,0,0,"13,423","50,750","45,451","96,240",No,Yes,Yes,No,No,No,"2,403",103,2,No,N/A,120,72,192,8,0,8,208,208,0,0,208,"2,568","3,021","5,589",54,0,385,"6,028","6,028",0,0,"6,028",0,0,0,348,0,0,Yes,197,No,0,No,0,Yes – for some material types,,1,1,,"kits, backpacks, DVDs, magazines",,,1,1,1,"kits, backpacks, DVDS",,Yes,14,No,,,,1,N/A,No,Bywater Pioner,Yes,7,None,Great Plains,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,No,N/A,340,74,Yes -Temporary or shared space for makerspace,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,None,,,Yes - Informal or one on one training,,,,,,Yes - Informal or one on one training,,,,,,,,,No,No,No,No,No,No,No,No,No,N/A,5,190,5,0,0,0.00,1,19,0.48,5,Library Director,$34.00,27,5,Jody Crocker,Library Director,1/6/2025
,MEAD PUBLIC LIBRARY,316 SOUTH VINE,POST OFFICE BOX 203,MEAD,68041,SAUNDERS,(402) 624-6605,Southeast Library System,633,633,0,0,1960,1975,Yes,No,No,No,,"2,030",52,CI,SO,PL1,Y,ME,N,1,"1,300",10/1/2023,9/30/2024,"$32,975",,,,,,,"$32,975",$859,$0,$625,$0,"$1,484","$1,307",,$0 ,"$1,307",$0,$0,,,$0,"$35,766",$0,$0,$0,$0,$0,Yes,Out of Village limits,$20.00,,12,"$19,575","$1,498","$21,073",0,,,,,,,1,,1,,"10,507",$500,"$2,220","$13,227",$105,$800,"$1,536",$139,"$8,338","$10,918","$45,218",$0,"7,718",449,438,"7,729",128,3,0,131,843,10,1,852,1,1,0,2,"games, puzzles",100,3,1,102,"8,789",465,440,"8,814",na,N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,419,"2,370",CT - Annual Count,213,CT - Annual Count,199,CT - Annual Count,640,"1,042",56,"1,738",626,103,729,24,0,24,628,180,808,0,0,0,"1,561","1,918","1,325","3,299",No,No,Yes,No,No,No,219,163,0,N/A,,6,18,24,0,81,4,109,107,2,0,109,26,196,222,0,282,47,551,469,82,0,551,0,0,0,5,0,52,Yes,19,Yes,0,Yes,6,Yes – for all items,1,1,1,1,games and puzzles,0,1,1,1,1,,,No,,N/A,,,,1,,No,Apollo biblionix,Yes,2,Parental control/filter set high,Windstream,DSL,Yes,NA,N/A,12.1 Mbps - 18.0 Mbps,No,,12,11,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,,,,,No,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,No,No,No,No,No,No,No,No,No,,4,25,0.63,0,0,0.00,0,0,0.00,0.63,Director,$20.00,0,0,Laurie Van Ackeren,Director,1/20/2025
,MEADOW GROVE PUBLIC LIBRARY,205 MAIN STREET,PO BOX 198,MEADOW GROVE,68752,MADISON,(402) 634-2266,Three Rivers Library System,273,273,0,0,1958,,No,No,No,No,None,1892,52,CI,SO,PL1,Y,ME,N,1,"1,196",10/1/2023,9/30/2024,"$41,000",,,Madison,"$9,020",,,"$50,020",$894,$0,$0,$0,$894,$0,,$0 ,$0,$0,$0,,,$0,"$50,914",$0,$0,$0,$0,$0,No,NA,$0,$0,0,"$16,997","$1,054","$18,051",,,,,,,,1,,1,,"$7,190",$500,$638,"$8,328","$1,905",$937,$0,$0,"$8,230","$11,072","$37,451",$0,"7,117",614,770,"6,961",0,0,0,0,"1,828",47,190,"1,685",23,3,1,25,Puzzles and rubber stamps,198,22,50,170,"9,143",683,"1,010","8,816","Headphones, Legos, card games, Cricuts and cartridges, sewing machine, AccuCut machines and dyes, AccuQuilt machines and cartridges, Cricut tool sets",100,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,650,"2,952",CT - Annual Count,725,CT - Annual Count,664,CT - Annual Count,"2,412","1,493",92,"3,997",269,27,296,14,1,15,141,39,180,0,0,0,491,"2,836","1,560","4,488",No,No,Yes,No,No,No,0,11,0,No,0,0,2,2,0,1,3,6,6,0,0,6,0,15,15,0,10,150,175,175,0,0,175,0,0,0,0,0,0,Yes,12,No,0,No,0,No,,,,,,,,,,,,,No,0,N/A,,,,,,Yes,Follett,Yes,3,None,NextLink,Area Wireless,Yes,1000,ES - Annual Estimate Based on Typical Week(s),12.1 Mbps - 18.0 Mbps,No,,15,6,Yes - Permanently allocated makerspace,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,NA,,,,Yes - Formal training or programs,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,Yes - Informal or one on one training,No,N/A,2,25,0.63,0,0,0.00,0,0,0.00,0.63,Director,$17.00,3,5,Heather Suckstorf,Director,02/07/2025
,MILLIGAN PUBLIC LIBRARY,507 MAIN STREET,PO BOX 324,MILLIGAN,68406,FILLMORE,(402) 629-4302,Southeast Library System,248,248,0,0,2015,2015,Yes,No,No,No,no,"1,250",52,CI,SO,PL1,Y,ME,N,1,312,7/1/2023,6/30/2024,$0,,,,,,,$0,$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,"Vavra estate, memorials, etc","$10,000","$10,000","$10,200",$0,$0,$0,$0,$0,Yes,non resident of the original school dist,$5.00,$5.00,1,"$5,080",$870,"$5,950",0,,,,,,,,,,0,"$2,200",$0,$0,"$2,200",$410,$0,$0,$0,"$1,715","$2,125","$10,275",$0,"3,440",70,68,"3,442",25,0,0,25,640,0,0,640,3,0,0,3,"cake pans, games, puzzles",52,0,0,52,"4,157",70,68,"4,159",0,0,No,No,No,No,No,No,No,No,No,No,No,No,248,"2,020",ES - Annual Estimate Based on Typical Week(s),7,ES - Annual Estimate Based on Typical Week(s),15,ES - Annual Estimate Based on Typical Week(s),750,200,35,985,0,0,0,0,0,0,0,0,0,0,0,0,0,750,200,985,No,No,No,No,No,No,0,0,0,N/A,,1,35,36,0,0,0,36,36,0,0,36,0,240,240,0,0,0,240,240,0,0,240,0,0,0,0,0,0,No,0,No,,No,,Yes – for all items,1,,,,,,,,,,,,Yes,20,No,,,,,,No,none,Yes,1,None,Last mile network,Area Wireless,Yes,N/A,N/A,12.1 Mbps - 18.0 Mbps,No,None,16,16,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,No,,,,,,,,,,,No,No,No,No,No,No,No,No,,3,12,0.30,0,0,0.00,0,0,0.00,0.30,librarian,$10.50,2,50,Lois Kotas,librarian,11/15/2024
,MINATARE PUBLIC LIBRARY,309 MAIN STREET,PO BOX 483,MINATARE,69356,SCOTTS BLUFF,308-439-1061,Western Library System,709,709,0,0,N/A,1990,Yes,No,No,No,N/A,418,52,CI,SO,PL1,Y,ME,N,1,910,10/1/2023,9/30/2024,"$14,073",,,,,,,"$14,073",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$100,"donations, copy fees","$2,330","$2,430","$16,703",$0,$0,$0,$0,$0,No,N/A,N/A,N/A,0,"$9,932",$760,"$10,692",,,,,,,,,,,,$585,$0,$0,$585,$0,$0,$939,$0,"$3,281","$4,220","$15,497",$0,"5,119",320,236,"5,203",30,0,0,30,407,0,310,97,1,0,0,1,N/A,0,0,0,0,"5,556",320,546,"5,330","picture albums, high school yearbooks, scrapbooks, donation of vintage magazines, photo collections",43,No,No,No,No,No,No,No,No,No,No,No,No,167,"1,113",CT - Annual Count,30,CT - Annual Count,490,CT - Annual Count,280,317,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,280,317,597,No,No,Yes,No,No,No,0,0,0,N/A,0,1,1,2,0,0,2,4,2,2,0,4,30,3,33,0,0,65,98,18,80,0,98,0,0,0,0,0,0,Yes,3,No,0,No,0,No,,,,,,1,,,,,,1,No,N/A,N/A,,,,,,No,N/A,Yes,3,DNS Filter,Spectrum,Cable,Yes,N/A,ES - Annual Estimate Based on Typical Week(s),50.1 Mbps - 100.0 Mbps,No,N/A,91,7,Yes -Temporary or shared space for makerspace,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,0,1,18,0.44,0,0,0.00,0,0,0.00,0.44,Library Director,$12.00,0,0,Caryle Covalt,Library Director,12/18/2024
,MITCHELL PUBLIC LIBRARY,1449 CENTER AVENUE,1449 CENTER AVENUE,MITCHELL,69357,SCOTTS BLUFF,(308) 623-2222,Western Library System,"1,527","1,527",0,0,1952,2014,Yes,No,No,No,NA,"2,376",52,CI,SO,PL1,Y,ME,N,1,"2,080",10/1/2023,9/30/2024,"$87,515",,,,,,,"$87,515",$794,$0,$0,$0,$794,$0,,$0 ,$0,0,0,"Foundation, misc.","$9,502","$9,502","$97,811",$0,$0,$0,$0,$0,No,NA,N/A,N/A,34,"$52,899","$4,048","$56,947",,,1,1,1,,1,1,1,1,,"$7,089","$2,804",$0,"$9,893","$1,807","$1,867",$0,$119,"$24,527","$28,320","$95,160",$0,"10,865",349,15,"11,199",57,0,0,57,10,0,0,10,7,1,0,8,"Projectors, kindles, screen",7,0,0,7,"10,939",349,15,"11,273",Microfilm,0,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,399,"5,500",ES - Annual Estimate Based on Typical Week(s),825,ES - Annual Estimate Based on Typical Week(s),"1,551",CT - Annual Count,"4,461",861,0,"5,322",498,9,507,16,0,16,258,3,261,0,0,0,784,"5,233",873,"6,106",Yes,No,Yes,No,No,No,0,72,0,N/A,NA,0,10,10,0,9,1,20,20,0,0,20,0,51,51,0,47,225,323,323,0,0,323,0,0,,0,0,0,Yes,51,No,N/A,No,N/A,Yes – for all items,1,1,1,1,,,,,,,,1,Yes,0,No,,,,1,,No,Follett,Yes,3,Fortinet,Vistabeam,Other - specify using the State Note,Yes,NA,N/A,24.1 Mbps - 50.0 Mbps,No,NA,N/A,44,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,Yes - Informal or one on one training,,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,Yes - Informal or one on one training,No,,2,42,1,1,17,0.43,1,10,0.25,1,Library Director,$25.57,2,5,Maryruth Reed,Library Director,12/21/24
,MORRILL PUBLIC LIBRARY,119 EAST WEBSTER STREET,PO BOX 402,MORRILL,69358,SCOTTS BLUFF,(308) 247-2611,Western Library System,925,925,0,0,1935,2024,Yes,No,No,No,na,"4,000",52,CI,SO,PL1,Y,ME,N,1,"1,534",10/1/2023,9/30/2024,"$78,126",,,,,,,"$78,126",$905,$0,$0,$0,$905,$0,,$0 ,$0,$0,$0,,,$0,"$79,031",0,0,0,0,$0,No,na,na,na,5,"$38,000","$2,873","$40,873",,,,,,,,,,,,"$9,739",$500,"$1,300","$11,539","$4,300",0,$0,0,"$4,800","$9,100","$61,512",$0,"13,197",746,200,"13,743",218,0,0,218,"1,773",124,0,"1,897",18,0,0,18,N/A,142,0,0,142,"15,330",870,200,"16,000",none at this time,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,103","2,351",CT - Annual Count,35,CT - Annual Count,185,CT - Annual Count,"1,245","1,542",44,"2,831",281,185,466,264,0,264,293,108,401,0,0,0,"1,131","2,083","1,835","3,962",No,No,Yes,No,No,No,3,1,0,N/A,,5,7,12,3,6,5,26,26,0,0,26,35,150,185,20,55,548,808,808,0,0,808,0,0,0,2,1,2,Yes,58,Yes,15,Yes,22,No,,,,,,,,,,,,,Yes,65,No,,,,,,No,biblionix/apollo,Yes,5,dnsfilter,charter,DSL,Yes,na,N/A,100.0 Mbps - 1 Gbps,No,None,239,239,Yes -Temporary or shared space for makerspace,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,0,,,,,,,,,,,,,Yes - Informal or one on one training,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,0,1,35,0.88,0,0,0.00,2,45,1,2,Library Director,$16.75,6,4,Sarah Johannsen,Director,1/6/2025
,MORTON-JAMES PUBLIC LIBRARY,923 FIRST CORSO,923 FIRST CORSO,NEBRASKA CITY,68410,OTOE,(402) 873-5609,Southeast Library System,"7,414","7,414",0,0,1896,2002,Yes,No,No,No,na,"16,794",52,CI,SO,PL1,Y,ME,N,1,"2,496",10/1/2023,9/30/2024,"$1,072,240",,,,,,,"$1,072,240","$1,845",$0,$0,$0,"$1,845",$0,,$0 ,$0,$292,$0,"Grants, endowments, donations","$318,474","$318,766","$1,392,851","$50,851",$0,$0,$0,"$50,851",Yes,those outside city limits/out of state,$0,$20.00,241,"$316,761","$106,716","$423,477",1,1,1,1,1,1,1,1,1,1,admin leave 20 hr/yr,"$37,497","$3,614","$9,160","$50,271",$725,"$5,086","$3,166","$2,695","$68,424","$80,096","$553,844","$50,851","28,641","2,776","2,074","29,343","2,153",130,211,"2,072","5,613",550,143,"6,020",29,0,6,23,"telescopes,discgolf,litterpails, pickleb",11,0,0,11,"36,418","3,456","2,428","37,446","genealogy resources + microfilm, vertical files + youth manipulatives + youth interactives","6,043",No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,"2,478","30,993",CT - Annual Count,"15,787",CT - Annual Count,"1,877",CT - Annual Count,"19,512","24,311","5,216","49,039","3,465",776,"4,241","1,313",27,"1,340","5,445","1,536","6,981","2,195",58,"2,253","14,815","31,930","26,708","63,854",Yes,Yes,Yes,Yes,No,No,"1,003",250,0,No,0,27,1,28,2,75,118,223,210,13,0,223,513,119,632,21,"1,001","2,864","4,518","3,942",576,0,"4,518",0,0,0,"4,497",74,422,Yes,118,Yes,7,No,0,No,0,0,0,0,na,1,0,0,0,0,na,1,Yes,243,N/A,0,0,1,1,na,Yes,Biblionix,Yes,7,na,Pinpoint,Fiber Optic,Yes,"16,629",CT - Annual Count,50.1 Mbps - 100.0 Mbps,Yes,deep freeze/clean slate,49,59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,na,,,,,,,,,,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,Yes - Informal or one on one training,No,N/A,6,240,6,2,80,2,1,29,0.73,7,Director,$36.67,21,12,Donna S Kruse,Director,2/15/25
,NANCY FAWCETT MEMORIAL LIBRARY,724 OBERFELDER STREET,PO BOX 318,LODGEPOLE,69149,CHEYENNE,(308) 483-5714,Western Library System,316,316,0,0,1967,2008,Yes,No,No,No,N/A,"1,837",52,CI,SO,PL1,Y,ME,N,1,925,10/1/2023,9/30/2024,"$31,300",,,,,,,"$31,300",$612,$0,$0,"$1,000","$1,612",$0,,$0 ,$0,$0,$100,"Buckley Foundation, Virginia Smith Trust","$1,150","$1,250","$34,162",$0,$0,$0,$0,$0,No,N/A,N/A,N/A,4,"$13,631","$1,043","$14,674",,,,,,,,1,1,1,NONE,"$1,169",$500,$0,"$1,669",$0,$0,$288,$0,"$3,072","$3,360","$19,703",$0,"3,967",119,78,"4,008",309,0,161,148,217,0,15,202,7,3,0,10,Puzzles,129,20,45,104,"4,622",139,299,"4,462",N/A,N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,315,"1,724",CT - Annual Count,150,CT - Annual Count,518,CT - Annual Count,871,120,16,"1,007",248,21,269,81,0,81,316,0,316,0,0,0,666,"1,516",141,"1,673",No,No,Yes,No,No,No,0,14,0,N/A,N/A,6,7,13,2,4,3,22,11,11,0,22,22,32,54,27,110,62,253,116,137,0,253,0,0,0,0,0,0,Yes,14,Yes,1,Yes,4,No,,,,,,,,,,,,,Yes,10,No,,,,,,No,N/A,Yes,4,DNS Filter,Dalton Telephone Co.,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,N/A,,260,400,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,,,,,,,,,,,,,,,,,,No,Yes - Informal or one on one training,No,No,No,No,No,No,No,N/A,1,18,0.45,0,0,0.00,1,3,0.08,0.53,Librarian Director,$12.25,2,2,Dana Hill,Director,2/12/24
